Process 1 has a clock rate of 20

Received message	 System time: 13:48:20	 Logical clock time: 416
Internal event	 System time: 13:48:20	 Logical clock time: 417
Internal event	 System time: 13:48:21	 Logical clock time: 418
Internal event	 System time: 13:48:21	 Logical clock time: 419
Sent message:'419'	 System time: 13:48:21	 Logical clock time: 420
Internal event	 System time: 13:48:21	 Logical clock time: 421
Internal event	 System time: 13:48:21	 Logical clock time: 422
Received message	 System time: 13:48:21	 Logical clock time: 423
Sent message:'423'	 System time: 13:48:21	 Logical clock time: 424
Internal event	 System time: 13:48:21	 Logical clock time: 425
Internal event	 System time: 13:48:21	 Logical clock time: 426
Internal event	 System time: 13:48:21	 Logical clock time: 427
Sent message:'427'	 System time: 13:48:21	 Logical clock time: 428
Internal event	 System time: 13:48:21	 Logical clock time: 429
Internal event	 System time: 13:48:21	 Logical clock time: 430
Sent message:'430'	 System time: 13:48:21	 Logical clock time: 431
Sent message:'431'	 System time: 13:48:21	 Logical clock time: 432
Sent message:'432'	 System time: 13:48:21	 Logical clock time: 433
Sent message:'433'	 System time: 13:48:21	 Logical clock time: 434
Internal event	 System time: 13:48:21	 Logical clock time: 435
Internal event	 System time: 13:48:22	 Logical clock time: 436
Sent message:'436'	 System time: 13:48:22	 Logical clock time: 437
Received message	 System time: 13:48:22	 Logical clock time: 438
Internal event	 System time: 13:48:22	 Logical clock time: 439
Sent message:'439'	 System time: 13:48:22	 Logical clock time: 440
Sent message:'440'	 System time: 13:48:22	 Logical clock time: 441
Internal event	 System time: 13:48:22	 Logical clock time: 442
Internal event	 System time: 13:48:22	 Logical clock time: 443
Sent message:'443'	 System time: 13:48:22	 Logical clock time: 444
Internal event	 System time: 13:48:22	 Logical clock time: 445
Sent message:'445'	 System time: 13:48:22	 Logical clock time: 446
Sent message:'446'	 System time: 13:48:22	 Logical clock time: 447
Internal event	 System time: 13:48:22	 Logical clock time: 448
Sent message:'448'	 System time: 13:48:22	 Logical clock time: 449
Internal event	 System time: 13:48:22	 Logical clock time: 450
Sent message:'450'	 System time: 13:48:22	 Logical clock time: 451
Internal event	 System time: 13:48:22	 Logical clock time: 452
Sent message:'452'	 System time: 13:48:22	 Logical clock time: 453
Sent message:'453'	 System time: 13:48:22	 Logical clock time: 454
Internal event	 System time: 13:48:23	 Logical clock time: 455
Sent message:'455'	 System time: 13:48:23	 Logical clock time: 456
Internal event	 System time: 13:48:23	 Logical clock time: 457
Received message	 System time: 13:48:23	 Logical clock time: 458
Internal event	 System time: 13:48:23	 Logical clock time: 459
Received message	 System time: 13:48:23	 Logical clock time: 460
Internal event	 System time: 13:48:23	 Logical clock time: 461
Internal event	 System time: 13:48:23	 Logical clock time: 462
Sent message:'462'	 System time: 13:48:23	 Logical clock time: 463
Sent message:'463'	 System time: 13:48:23	 Logical clock time: 464
Sent message:'464'	 System time: 13:48:23	 Logical clock time: 465
Sent message:'465'	 System time: 13:48:23	 Logical clock time: 466
Received message	 System time: 13:48:23	 Logical clock time: 467
Internal event	 System time: 13:48:23	 Logical clock time: 468
Received message	 System time: 13:48:23	 Logical clock time: 469
Sent message:'469'	 System time: 13:48:23	 Logical clock time: 470
Internal event	 System time: 13:48:23	 Logical clock time: 471
Internal event	 System time: 13:48:23	 Logical clock time: 472
Internal event	 System time: 13:48:24	 Logical clock time: 473
Sent message:'473'	 System time: 13:48:24	 Logical clock time: 474
Sent message:'474'	 System time: 13:48:24	 Logical clock time: 475
Internal event	 System time: 13:48:24	 Logical clock time: 476
Internal event	 System time: 13:48:24	 Logical clock time: 477
Internal event	 System time: 13:48:24	 Logical clock time: 478
Received message	 System time: 13:48:24	 Logical clock time: 479
Received message	 System time: 13:48:24	 Logical clock time: 480
Internal event	 System time: 13:48:24	 Logical clock time: 481
Sent message:'481'	 System time: 13:48:24	 Logical clock time: 482
Internal event	 System time: 13:48:24	 Logical clock time: 483
Received message	 System time: 13:48:24	 Logical clock time: 484
Sent message:'484'	 System time: 13:48:24	 Logical clock time: 485
Internal event	 System time: 13:48:24	 Logical clock time: 486
Sent message:'486'	 System time: 13:48:24	 Logical clock time: 487
Sent message:'487'	 System time: 13:48:24	 Logical clock time: 488
Internal event	 System time: 13:48:24	 Logical clock time: 489
Internal event	 System time: 13:48:24	 Logical clock time: 490
Received message	 System time: 13:48:25	 Logical clock time: 491
Received message	 System time: 13:48:25	 Logical clock time: 492
Internal event	 System time: 13:48:25	 Logical clock time: 493
Internal event	 System time: 13:48:25	 Logical clock time: 494
Sent message:'494'	 System time: 13:48:25	 Logical clock time: 495
Sent message:'495'	 System time: 13:48:25	 Logical clock time: 496
Internal event	 System time: 13:48:25	 Logical clock time: 497
